batch_start,batch_close,candidate_id,ivrs,introductions,first_round_interviews,final_offers,hired,,,,,,,Predicted,Actual,Variance
1/6/16,2/1/16,591559,28,14,9,0,FALSE,,,,,,1159822,FALSE,FALSE,TRUE
1/6/16,2/1/16,409287,2,2,1,1,TRUE,,,,,,744603,FALSE,FALSE,TRUE
1/6/16,2/1/16,603235,10,2,2,0,FALSE,,,,,,595816,FALSE,FALSE,TRUE
1/6/16,2/1/16,593535,35,11,5,0,FALSE,,,,,,431131,FALSE,FALSE,TRUE
1/6/16,2/1/16,166191,0,0,0,0,FALSE,,,,,,457706,FALSE,FALSE,TRUE
1/6/16,2/1/16,596081,4,3,0,0,FALSE,,,,,,417151,FALSE,FALSE,TRUE
1/6/16,2/1/16,591959,1,1,1,0,FALSE,,,,,,636866,TRUE,TRUE,TRUE
1/6/16,2/1/16,595949,7,2,2,0,FALSE,,,,,,1070161,FALSE,FALSE,TRUE
1/6/16,2/1/16,553498,36,19,5,1,TRUE,,,,,,279713,FALSE,FALSE,TRUE
1/6/16,2/1/16,20745,18,2,0,0,FALSE,,,,,,1113526,FALSE,FALSE,TRUE
1/6/16,2/1/16,592932,1,0,0,0,FALSE,,,,,,970307,FALSE,FALSE,TRUE
1/6/16,2/1/16,601130,1,0,0,0,FALSE,,,,,,214936,FALSE,FALSE,TRUE
1/6/16,2/1/16,329049,6,6,6,1,TRUE,,,,,,113545,FALSE,FALSE,TRUE
1/6/16,2/1/16,600986,6,4,4,0,FALSE,,,,,,1482630,FALSE,FALSE,TRUE
1/6/16,2/1/16,600654,17,7,3,1,TRUE,,,,,,691914,FALSE,FALSE,TRUE
1/6/16,2/1/16,599794,5,1,1,0,FALSE,,,,,,464871,FALSE,FALSE,TRUE
1/6/16,2/1/16,55081,1,0,0,0,FALSE,,,,,,970440,FALSE,FALSE,TRUE
1/6/16,2/1/16,603425,14,3,3,0,FALSE,,,,,,1143196,FALSE,FALSE,TRUE
1/6/16,2/1/16,597034,0,0,0,0,FALSE,,,,,,161750,FALSE,FALSE,TRUE
1/6/16,2/1/16,594167,0,0,0,0,FALSE,,,,,,749176,FALSE,FALSE,TRUE
1/6/16,2/1/16,231595,3,1,0,0,FALSE,,,,,,890817,FALSE,FALSE,TRUE
1/6/16,2/1/16,561963,10,0,0,0,FALSE,,,,,,629016,FALSE,FALSE,TRUE
1/6/16,2/1/16,22897,0,0,0,0,FALSE,,,,,,686519,FALSE,FALSE,TRUE
1/6/16,2/1/16,570349,3,1,0,0,FALSE,,,,,,842451,FALSE,FALSE,TRUE
1/6/16,2/1/16,598676,6,2,1,0,FALSE,,,,,,403176,FALSE,FALSE,TRUE
1/6/16,2/1/16,578255,14,8,6,1,TRUE,,,,,,950920,FALSE,FALSE,TRUE
1/6/16,2/1/16,532987,0,0,0,0,FALSE,,,,,,695805,FALSE,FALSE,TRUE
1/6/16,2/1/16,600635,9,8,5,0,FALSE,,,,,,692849,FALSE,FALSE,TRUE
1/6/16,2/1/16,599919,9,2,1,1,FALSE,,,,,,814986,FALSE,FALSE,TRUE
1/6/16,2/1/16,591806,3,3,1,0,FALSE,,,,,,269741,FALSE,FALSE,TRUE
1/6/16,2/1/16,462370,0,0,0,0,FALSE,,,,,,405975,FALSE,FALSE,TRUE
1/6/16,2/1/16,604270,30,5,3,0,FALSE,,,,,,930124,FALSE,FALSE,TRUE
1/6/16,2/1/16,39639,15,2,2,0,FALSE,,,,,,947302,FALSE,FALSE,TRUE
1/6/16,2/1/16,561929,0,0,0,0,FALSE,,,,,,1430275,FALSE,FALSE,TRUE
1/6/16,2/1/16,83511,0,0,0,0,FALSE,,,,,,1013941,FALSE,FALSE,TRUE
1/6/16,2/1/16,41466,1,1,1,0,FALSE,,,,,,724992,FALSE,FALSE,TRUE
1/6/16,2/1/16,529435,14,6,4,0,FALSE,,,,,,845228,FALSE,FALSE,TRUE
1/6/16,2/1/16,595026,0,0,0,0,FALSE,,,,,,1245615,FALSE,FALSE,TRUE
1/6/16,2/1/16,585681,4,4,2,1,TRUE,,,,,,378214,FALSE,FALSE,TRUE
1/6/16,2/1/16,205129,0,0,0,0,FALSE,,,,,,432846,FALSE,FALSE,TRUE
1/6/16,2/1/16,594260,5,3,1,0,FALSE,,,,,,26695,TRUE,FALSE,FALSE
1/6/16,2/1/16,594550,28,4,2,1,FALSE,,,,,,103273,FALSE,FALSE,TRUE
1/6/16,2/1/16,289547,1,1,1,0,FALSE,,,,,,836550,FALSE,FALSE,TRUE
1/6/16,2/1/16,592011,16,3,2,0,FALSE,,,,,,1163738,FALSE,FALSE,TRUE
1/6/16,2/1/16,505917,21,5,4,1,TRUE,,,,,,1439083,FALSE,FALSE,TRUE
1/6/16,2/1/16,593762,17,12,4,1,FALSE,,,,,,802177,FALSE,FALSE,TRUE
1/6/16,2/1/16,491584,0,0,0,0,FALSE,,,,,,1094084,FALSE,FALSE,TRUE
1/6/16,2/1/16,539608,1,1,0,0,FALSE,,,,,,620473,FALSE,FALSE,TRUE
